canonicalPortfolioKey,legislature,review,antiCapture,currentRank,companionRank,harmonizedRank,companionMinusCurrent,harmonizedMinusCurrent,bestObservedRank
expanded-portfolio-hybrid-legislature|suspended-declaration-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Suspended declarations of invalidity,Full anti-capture bundle,,1,2,,,1
expanded-portfolio-hybrid-legislature|emergency-restraint-court|full-anti-capture-bundle,Expanded portfolio hybrid legislature,No emergency relief without merits review,Full anti-capture bundle,1,,265,,264,1
expanded-portfolio-hybrid-legislature|mandatory-legislative-response|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Mandatory legislative response cycles,Full anti-capture bundle,,2,1,,,1
expanded-portfolio-hybrid-legislature|emergency-integrity-package|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Emergency integrity package,Full anti-capture bundle,2,,271,,269,2
expanded-portfolio-hybrid-legislature|weak-form-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Weak-form review with legislative reply,Full anti-capture bundle,,3,7,,,3
expanded-portfolio-hybrid-legislature|automatic-merits-follow-up|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Automatic merits follow-up for emergency relief,Full anti-capture bundle,3,,306,,303,3
expanded-portfolio-hybrid-legislature|rights-impact-statement-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Rights-impact statements before review,Full anti-capture bundle,,4,3,,,3
expanded-portfolio-hybrid-legislature|independence-accountability-hybrid|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Hybrid court balancing independence and accountability,Full anti-capture bundle,,9,4,,,4
expanded-portfolio-hybrid-legislature|council-concrete-hybrid|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Constitutional council with concrete-review backstop,Full anti-capture bundle,4,,336,,332,4
expanded-portfolio-hybrid-legislature|constitutional-council|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Pre-enactment constitutional council,Full anti-capture bundle,5,13,11,8,6,5
expanded-portfolio-hybrid-legislature|abstract-review-tribunal|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Abstract review tribunal,Full anti-capture bundle,,5,5,,,5
expanded-portfolio-hybrid-legislature|pre-enactment-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Pre-enactment review before laws take effect,Full anti-capture bundle,,6,9,,,6
expanded-portfolio-hybrid-legislature|constitutional-remand|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Constitutional remand before invalidation,Full anti-capture bundle,6,,342,,336,6
expanded-portfolio-hybrid-legislature|dual-cross-checking-courts|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Dual supreme courts with cross-checking invalidations,Full anti-capture bundle,,12,6,,,6
expanded-portfolio-hybrid-legislature|remand-override-window-package|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Constitutional remand with override window,Full anti-capture bundle,7,,318,,311,7
expanded-portfolio-hybrid-legislature|reasoned-emergency-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Reasoned emergency orders with merits follow-up,Full anti-capture bundle,,7,10,,,7
expanded-portfolio-hybrid-legislature|constitutional-public-defender|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Constitutional public defender access model,Full anti-capture bundle,,8,8,,,8
expanded-portfolio-hybrid-legislature|panel-en-banc|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Three-judge panels with en banc correction,Full anti-capture bundle,8,,382,,374,8
expanded-portfolio-hybrid-legislature|randomized-merits-panels|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Randomized merits panels with en banc correction,Full anti-capture bundle,9,,374,,365,9
expanded-portfolio-hybrid-legislature|suspended-declaration-review|democracy-vouchers,Expanded portfolio hybrid legislature,Suspended declarations of invalidity,Democracy vouchers,,10,13,,,10
expanded-portfolio-hybrid-legislature|panel-jurisdiction-safeguards|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Random panels with jurisdiction safeguards,Full anti-capture bundle,10,,386,,376,10
expanded-portfolio-hybrid-legislature|mandatory-legislative-response|democracy-vouchers,Expanded portfolio hybrid legislature,Mandatory legislative response cycles,Democracy vouchers,,11,12,,,11
expanded-portfolio-hybrid-legislature|comparative-constitutional-senates|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Comparative 16-seat constitutional senates,Full anti-capture bundle,11,,375,,364,11
expanded-portfolio-hybrid-legislature|public-interest-litigation-filter|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Public-interest litigation filter,Full anti-capture bundle,12,,405,,393,12
expanded-portfolio-hybrid-legislature|jurisdiction-stripping-constraints|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Jurisdiction stripping constrained by rights carveouts,Full anti-capture bundle,13,,439,,426,13
expanded-portfolio-hybrid-legislature|rights-impact-statement-review|democracy-vouchers,Expanded portfolio hybrid legislature,Rights-impact statements before review,Democracy vouchers,,20,14,,,14
expanded-portfolio-hybrid-legislature|strong-recusal-enforcement|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Independent recusal enforcement with substitutes,Full anti-capture bundle,14,,407,,393,14
expanded-portfolio-hybrid-legislature|weak-form-review|democracy-vouchers,Expanded portfolio hybrid legislature,Weak-form review with legislative reply,Democracy vouchers,,14,21,,,14
expanded-portfolio-hybrid-legislature|nonpartisan-commission|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Nonpartisan commission appointments,Full anti-capture bundle,15,,429,,414,15
expanded-portfolio-hybrid-legislature|mandatory-legislative-response|budgeted-disclosed-lobbying,Expanded portfolio hybrid legislature,Mandatory legislative response cycles,Budgeted disclosed lobbying,,16,15,,,15
expanded-portfolio-hybrid-legislature|suspended-declaration-review|budgeted-disclosed-lobbying,Expanded portfolio hybrid legislature,Suspended declarations of invalidity,Budgeted disclosed lobbying,,15,18,,,15
expanded-portfolio-hybrid-legislature|term-limited-balanced|full-anti-capture-bundle,Expanded portfolio hybrid legislature,18-year staggered terms + regular appointments,Full anti-capture bundle,16,,438,,422,16
expanded-portfolio-hybrid-legislature|independence-accountability-hybrid|democracy-vouchers,Expanded portfolio hybrid legislature,Constitutional Review Simulator: Hybrid court balancing independence and accountability,Democracy vouchers,,39,16,,,16
expanded-portfolio-hybrid-legislature|accountability-retention-court|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Retention-election accountability court,Full anti-capture bundle,17,22,22,5,5,17
expanded-portfolio-hybrid-legislature|weak-form-review|budgeted-disclosed-lobbying,Expanded portfolio hybrid legislature,Weak-form review with legislative reply,Budgeted disclosed lobbying,,17,31,,,17
expanded-portfolio-hybrid-legislature|abstract-review-tribunal|democracy-vouchers,Expanded portfolio hybrid legislature,Abstract review tribunal,Democracy vouchers,,23,17,,,17
expanded-portfolio-hybrid-legislature|mandatory-written-emergency-reasoning|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Mandatory written emergency reasoning,Full anti-capture bundle,18,,402,,384,18
expanded-portfolio-hybrid-legislature|override-clause-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Strong-form review with explicit override clause,Full anti-capture bundle,,18,33,,,18
expanded-portfolio-hybrid-legislature|legislative-override-window|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Time-limited legislative override window,Full anti-capture bundle,19,,447,,428,19
expanded-portfolio-hybrid-legislature|rights-impact-statement-review|budgeted-disclosed-lobbying,Expanded portfolio hybrid legislature,Constitutional Review Simulator: Rights-impact statements before review,Budgeted disclosed lobbying,,26,19,,,19
expanded-portfolio-hybrid-legislature|strict-recusal-court|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Strict recusal with substitute justices,Full anti-capture bundle,,19,27,,,19
expanded-portfolio-hybrid-legislature|expanded-court-fifteen|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Expanded 15-seat court,Full anti-capture bundle,20,,425,,405,20
expanded-portfolio-hybrid-legislature|dual-cross-checking-courts|democracy-vouchers,Expanded portfolio hybrid legislature,Constitutional Review Simulator: Dual supreme courts with cross-checking invalidations,Democracy vouchers,,53,20,,,20
expanded-portfolio-hybrid-legislature|fifteen-justice-commission|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Fifteen-justice supermajority commission court,Full anti-capture bundle,,21,35,,,21
expanded-portfolio-hybrid-legislature|recusal-and-emergency-reform|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Peer recusal + reasoned emergency docket,Full anti-capture bundle,21,,431,,410,21
expanded-portfolio-hybrid-legislature|legislative-override|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Judicial review with legislative supermajority override,Full anti-capture bundle,22,,450,,428,22
expanded-portfolio-hybrid-legislature|constitutional-public-defender|democracy-vouchers,Expanded portfolio hybrid legislature,Constitutional Review Simulator: Constitutional public defender access model,Democracy vouchers,,34,23,,,23
expanded-portfolio-hybrid-legislature|emergency-restraint-court|budgeted-disclosed-lobbying,Expanded portfolio hybrid legislature,No emergency relief without merits review,Budgeted disclosed lobbying,23,,457,,434,23
expanded-portfolio-hybrid-legislature|panel-en-banc-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Panel review with en banc safety valve,Full anti-capture bundle,,24,34,,,24
expanded-portfolio-hybrid-legislature|supermajority-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,60 percent invalidation threshold,Full anti-capture bundle,24,,452,,428,24
expanded-portfolio-hybrid-legislature|independence-accountability-hybrid|budgeted-disclosed-lobbying,Expanded portfolio hybrid legislature,Constitutional Review Simulator: Hybrid court balancing independence and accountability,Budgeted disclosed lobbying,,49,24,,,24
expanded-portfolio-hybrid-legislature|ombudsman-triggered-review|full-anti-capture-bundle,Expanded portfolio hybrid legislature,Ombudsman-triggered constitutional review,Full anti-capture bundle,,25,29,,,25
