sourceProject,sourceScenarioKey,sourceCaseKey,caseKey,caseName,caseWeight,scenarioKey,scenario,directionalScore,legalStability,rightsProtection,democraticResponsiveness,independenceAccountabilityBalance,legitimacy,partisanAlignment,shadowDocketAbuse,constitutionalConflict,reversalRate
Supreme Court Simulator Design,current-us-like,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.592,0.658,0.637,0.572,0.701,0.462,0.034,0.232,0.411,0.029
Supreme Court Simulator Design,term-limited-balanced,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.607,0.665,0.638,0.585,0.742,0.569,0.035,0.077,0.383,0.039
Supreme Court Simulator Design,nonpartisan-commission,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.606,0.664,0.638,0.584,0.747,0.576,0.022,0.074,0.379,0.039
Supreme Court Simulator Design,expanded-court-fifteen,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.602,0.667,0.634,0.581,0.746,0.577,0.023,0.074,0.379,0.038
Supreme Court Simulator Design,supermajority-review,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.609,0.672,0.628,0.578,0.741,0.559,0.034,0.068,0.379,0.032
Supreme Court Simulator Design,recusal-and-emergency-reform,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.604,0.664,0.638,0.584,0.745,0.581,0.034,0.073,0.382,0.040
Supreme Court Simulator Design,panel-en-banc,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.604,0.667,0.638,0.586,0.749,0.620,0.037,0.077,0.380,0.040
Supreme Court Simulator Design,cross-checking-courts,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.589,0.667,0.622,0.576,0.745,0.584,0.016,0.069,0.406,0.026
Supreme Court Simulator Design,dual-supreme-courts,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.578,0.644,0.636,0.585,0.743,0.585,0.015,0.067,0.412,0.039
Supreme Court Simulator Design,comparative-constitutional-senates,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__comparative-constitutional-senates,Supreme Court Simulator Design: Comparative 16-seat constitutional senates,0.599,0.676,0.629,0.575,0.747,0.607,0.020,0.066,0.376,0.027
Supreme Court Simulator Design,constitutional-council,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__constitutional-council,Supreme Court Simulator Design: Pre-enactment constitutional council,0.599,0.673,0.636,0.602,0.756,0.633,0.028,0.074,0.393,0.034
Supreme Court Simulator Design,legislative-override,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__legislative-override,Supreme Court Simulator Design: Judicial review with legislative supermajority override,0.600,0.657,0.640,0.590,0.745,0.578,0.015,0.075,0.399,0.039
Supreme Court Simulator Design,accountability-retention-court,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__accountability-retention-court,Supreme Court Simulator Design: Retention-election accountability court,0.602,0.666,0.632,0.594,0.744,0.581,0.022,0.077,0.398,0.038
Supreme Court Simulator Design,emergency-restraint-court,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__emergency-restraint-court,Supreme Court Simulator Design: No emergency relief without merits review,0.610,0.664,0.643,0.589,0.760,0.623,0.023,0.011,0.378,0.042
Supreme Court Simulator Design,randomized-merits-panels,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__randomized-merits-panels,Supreme Court Simulator Design: Randomized merits panels with en banc correction,0.601,0.663,0.640,0.587,0.748,0.622,0.036,0.077,0.384,0.038
Supreme Court Simulator Design,mandatory-written-emergency-reasoning,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__mandatory-written-emergency-reasoning,Supreme Court Simulator Design: Mandatory written emergency reasoning,0.604,0.669,0.638,0.585,0.744,0.579,0.037,0.049,0.385,0.037
Supreme Court Simulator Design,automatic-merits-follow-up,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.606,0.659,0.644,0.590,0.756,0.610,0.034,0.017,0.381,0.050
Supreme Court Simulator Design,strong-recusal-enforcement,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.602,0.663,0.640,0.588,0.748,0.591,0.023,0.076,0.386,0.039
Supreme Court Simulator Design,jurisdiction-stripping-constraints,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.607,0.662,0.639,0.588,0.751,0.579,0.015,0.074,0.390,0.040
Supreme Court Simulator Design,legislative-override-window,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.602,0.661,0.638,0.589,0.746,0.577,0.015,0.074,0.395,0.038
Supreme Court Simulator Design,constitutional-remand,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.605,0.689,0.636,0.601,0.756,0.609,0.024,0.076,0.380,0.023
Supreme Court Simulator Design,public-interest-litigation-filter,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.605,0.666,0.644,0.585,0.747,0.582,0.025,0.075,0.382,0.036
Supreme Court Simulator Design,emergency-integrity-package,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.605,0.664,0.644,0.589,0.759,0.627,0.023,0.018,0.380,0.042
Supreme Court Simulator Design,remand-override-window-package,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__remand-override-window-package,Supreme Court Simulator Design: Constitutional remand with override window,0.602,0.690,0.633,0.600,0.758,0.613,0.025,0.048,0.382,0.029
Supreme Court Simulator Design,panel-jurisdiction-safeguards,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__panel-jurisdiction-safeguards,Supreme Court Simulator Design: Random panels with jurisdiction safeguards,0.600,0.667,0.628,0.583,0.750,0.615,0.036,0.069,0.387,0.035
Supreme Court Simulator Design,council-concrete-hybrid,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__council-concrete-hybrid,Supreme Court Simulator Design: Constitutional council with concrete-review backstop,0.597,0.674,0.638,0.598,0.758,0.633,0.019,0.073,0.391,0.031
Supreme Court Simulator Design,judicial-electorate-selection,baseline,scd__baseline,Supreme Court Simulator Design: Baseline,1.000,scd__judicial-electorate-selection,Supreme Court Simulator Design: Judicial electorate selection court,0.597,0.666,0.639,0.587,0.748,0.595,0.019,0.076,0.384,0.040
Supreme Court Simulator Design,current-us-like,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.590,0.658,0.636,0.576,0.700,0.464,0.040,0.233,0.415,0.026
Supreme Court Simulator Design,term-limited-balanced,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.606,0.663,0.634,0.585,0.743,0.575,0.038,0.073,0.381,0.036
Supreme Court Simulator Design,nonpartisan-commission,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.604,0.666,0.635,0.588,0.746,0.582,0.030,0.075,0.382,0.035
Supreme Court Simulator Design,expanded-court-fifteen,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.600,0.666,0.633,0.584,0.744,0.582,0.023,0.077,0.381,0.034
Supreme Court Simulator Design,supermajority-review,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.606,0.669,0.629,0.581,0.739,0.566,0.037,0.067,0.383,0.030
Supreme Court Simulator Design,recusal-and-emergency-reform,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.602,0.667,0.632,0.584,0.743,0.580,0.042,0.073,0.379,0.031
